fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
29dd3b2e,Jones El-Abdellaoui,"['la_liga', 'europa_league', 'copa_del_rey']",31,1181,3,0,3
88824111,Tay Abed,['la_liga'],7,93,0,0,0
2bc7f211,Abdel Abqar,"['la_liga', 'copa_del_rey']",24,1457,0,2,2
2ccd39ed,Akor Adams,"['la_liga', 'copa_del_rey']",33,2154,10,4,14
f76e6b4e,Adrián,"['la_liga', 'copa_del_rey']",6,540,0,0,0
4b00cd47,David Affengruber,"['la_liga', 'copa_del_rey']",39,3093,1,2,3
a2c1a8d3,Julen Agirrezabala,"['la_liga', 'copa_del_rey']",19,1710,0,0,0
8bc8829a,Lucien Agoume,"['la_liga', 'copa_del_rey']",36,2799,1,4,5
2b16b2f5,Diego Aguado,['la_liga'],1,30,0,0,0
5a705641,Marc Aguado,"['la_liga', 'copa_del_rey']",39,2628,1,3,4
291b4b43,Pablo Agudín,"['la_liga', 'copa_del_rey']",8,155,0,0,0
b54895ce,Ibai Aguirre,"['la_liga', 'segunda_division']",22,1630,0,2,2
7244b474,Lucas Ahijado,"['la_liga', 'copa_del_rey']",21,1218,0,1,1
18abe173,Joseph Aidoo,"['la_liga', 'europa_league', 'copa_del_rey']",12,874,0,0,0
b8bd60fe,Ilias Akhomach,"['la_liga', 'champions_league', 'conference_league', 'copa_del_rey']",31,1359,2,3,5
05439de2,David Alaba,"['la_liga', 'champions_league', 'copa_del_rey', 'supercopa_de_espana']",16,581,0,0,0
3ed2a79b,Alexandre Alemão,"['la_liga', 'liga_mx', 'conference_league', 'leagues_cup', 'copa_del_rey']",43,1951,9,0,9
6c811eb7,Carles Aleñá,"['la_liga', 'copa_del_rey']",38,2196,0,4,4
cd1acf9d,Trent Alexander-Arnold,"['la_liga', 'champions_league']",30,1790,0,5,5
1c772b46,Alfon,"['la_liga', 'copa_del_rey']",23,798,3,0,3
27f33438,Thiago Almada,"['la_liga', 'champions_league', 'copa_del_rey', 'supercopa_de_espana']",40,1712,4,2,6
e6697917,André Almeida,"['la_liga', 'copa_del_rey']",25,1189,0,3,3
f4290206,Marcos Alonso,"['la_liga', 'europa_league']",43,3756,1,0,1
757a3431,Adrià Altimira,"['la_liga', 'segunda_division', 'copa_del_rey']",27,2220,1,5,6
94acdd4e,Sergi Altimira,"['la_liga', 'europa_league', 'copa_del_rey']",40,2177,2,3,5
56bcaaa0,Carlos Álvarez,['la_liga'],30,1890,3,1,4
6f392eb8,Hugo Álvarez,"['la_liga', 'europa_league', 'copa_del_rey']",38,1927,4,3,7
15ab5a2b,Julián Álvarez,"['la_liga', 'champions_league', 'copa_del_rey', 'supercopa_de_espana']",49,3531,20,9,29
3ecc11d8,Yeray Álvarez,['la_liga'],7,513,0,0,0
5a2cb25d,Sofyan Amrabat,"['la_liga', 'super_lig', 'europa_league']",25,1708,1,0,1
161386a9,Manuel Ángel,"['la_liga', 'champions_league', 'copa_del_rey']",7,133,0,0,0
56cafd0a,Miguel Ángel Rubio,"['la_liga', 'copa_del_rey']",14,386,1,0,1
5a0a95a3,Miguel Ángel Sierra,"['la_liga', 'copa_del_rey']",5,70,0,0,0
9a256fcf,Andrés Antañón,"['la_liga', 'copa_del_rey']",3,89,0,0,0
af784a9e,Antoniu,"['la_liga', 'copa_del_rey']",15,380,0,0,0
